code,displayName,notes,latitude,longitude
packChan,Packery Channel,Packery Channel,0,0
lagunamadre,Laguna Madre,Laguna Madre,0,0
SouthBirdIsland,South Bird Island,LIGHTHOUSE,0,0
SBirdIsland,South Bird Island,NDFD,27.4844,-97.318
NPSBI,NPS SBI, National Park Service South Bird Island,0,0
PACKER,Packery Channel,Packery Channel,0,0
Freeport,Freeport Texas,Freeport Texas,27.908,95.343
Aransas,Aransas Pass,Aransas Pass,27.83444444,-97.06777778
PortIsabel, Port Isabel,Port Isabel TX,26.05194444,-97.20250000
NorthJetty,North Jetty,Galveston Bay Entrance North Jetty TX,29.35111111,-94.71805556
Rockport, Rockport Texas, Rockport Texas, 28.01750000,-97.03555556
EstMagnoliaBeach, Estimated Magnolia Beach TX, An estimated location between TCOON station 057 and 033,28.54841,-96.48556
PortLavaca
MagnoliaBeach, Magnolia Beach, Magnolia Beach TX,28.5452,-96.5219
