"id","timeGenerated","leadTime","modelName","modelVersion","dataValue","dataUnit","dataLocation","dataSeries","dataDatum","ensembleMemberID"
1717194,"2025-05-07 22:00:00","5 days","Bird-Island_Water-Temperature_120hr","1.0.0","26.058723","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1720741,"2025-05-09 01:00:00","5 days","Bird-Island_Water-Temperature_120hr","1.0.0","26.285458","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1720842,"2025-05-09 01:00:00","4 days 18:00:00","Bird-Island_Water-Temperature_114hr","1.0.0","27.503405","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1720843,"2025-05-09 01:00:00","4 days 12:00:00","Bird-Island_Water-Temperature_108hr","1.0.0","26.253654","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1720946,"2025-05-09 01:00:00","4 days 06:00:00","Bird-Island_Water-Temperature_102hr","1.0.0","24.109865","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1722923,"2025-05-09 02:00:00","5 days","Bird-Island_Water-Temperature_120hr","1.0.0","25.703281","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1723024,"2025-05-09 02:00:00","4 days 18:00:00","Bird-Island_Water-Temperature_114hr","1.0.0","27.71941","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1723025,"2025-05-09 02:00:00","4 days 12:00:00","Bird-Island_Water-Temperature_108hr","1.0.0","26.600214","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1723128,"2025-05-09 02:00:00","4 days 06:00:00","Bird-Island_Water-Temperature_102hr","1.0.0","24.216612","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1723330,"2025-05-09 02:00:00","4 days","Bird-Island_Water-Temperature_96hr","1.0.0","25.021498","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1727285,"2025-05-09 04:00:00","5 days","Bird-Island_Water-Temperature_120hr","1.0.0","25.224525","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1727386,"2025-05-09 04:00:00","4 days 18:00:00","Bird-Island_Water-Temperature_114hr","1.0.0","26.987152","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1727387,"2025-05-09 04:00:00","4 days 12:00:00","Bird-Island_Water-Temperature_108hr","1.0.0","26.969017","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1729467,"2025-05-09 05:00:00","5 days","Bird-Island_Water-Temperature_120hr","1.0.0","24.733795","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1729568,"2025-05-09 05:00:00","4 days 18:00:00","Bird-Island_Water-Temperature_114hr","1.0.0","26.693401","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1729569,"2025-05-09 05:00:00","4 days 12:00:00","Bird-Island_Water-Temperature_108hr","1.0.0","27.014841","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1729672,"2025-05-09 05:00:00","4 days 06:00:00","Bird-Island_Water-Temperature_102hr","1.0.0","25.057928","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1729874,"2025-05-09 05:00:00","4 days","Bird-Island_Water-Temperature_96hr","1.0.0","24.536121","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1729978,"2025-05-09 05:00:00","3 days 18:00:00","Bird-Island_Water-Temperature_90hr","1.0.0","25.731707","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1733829,"2025-05-09 07:00:00","5 days","Bird-Island_Water-Temperature_120hr","1.0.0","24.891775","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1733930,"2025-05-09 07:00:00","4 days 18:00:00","Bird-Island_Water-Temperature_114hr","1.0.0","26.009262","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1733931,"2025-05-09 07:00:00","4 days 12:00:00","Bird-Island_Water-Temperature_108hr","1.0.0","26.714333","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1734032,"2025-05-09 07:00:00","4 days 06:00:00","Bird-Island_Water-Temperature_102hr","1.0.0","25.46373","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1734236,"2025-05-09 07:00:00","4 days","Bird-Island_Water-Temperature_96hr","1.0.0","24.289013","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1734337,"2025-05-09 07:00:00","3 days 18:00:00","Bird-Island_Water-Temperature_90hr","1.0.0","25.525183","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
1738192,"2025-05-09 09:00:00","5 days","Bird-Island_Water-Temperature_120hr","1.0.0","25.532343","celsius","SouthBirdIsland","pWaterTmp",NULL,NULL
